,category,country,description,lat,lon,rank,start,timezone,title,as_of_date,label
85,disasters,,,42.5172,43.6048,84,2018-11-06T01:17:20Z,Asia/Tbilisi,"M 4.9 - 15km ESE of Oni, Georgia",2018-11-06,disaster
85,disasters,,,42.5172,43.6048,84,2018-11-06T01:17:20Z,Asia/Tbilisi,"M 4.9 - 15km ESE of Oni, Georgia",2018-11-06,earthquake
86,disasters,,,-8.4712,116.5212,83,2018-11-06T01:00:13Z,Asia/Makassar,"M 4.6 - 4km WNW of Montongkemong, Indonesia",2018-11-06,disaster
86,disasters,,,-8.4712,116.5212,83,2018-11-06T01:00:13Z,Asia/Makassar,"M 4.6 - 4km WNW of Montongkemong, Indonesia",2018-11-06,earthquake
87,disasters,,,22.9114,122.5164,83,2018-11-07T21:05:12Z,Asia/Taipei,"M 5.0 - 141km E of Taitung City, Taiwan",2018-11-07,disaster
87,disasters,,,22.9114,122.5164,83,2018-11-07T21:05:12Z,Asia/Taipei,"M 5.0 - 141km E of Taitung City, Taiwan",2018-11-07,earthquake
88,disasters,,,-8.105,116.7771,85,2018-11-07T18:36:11Z,Asia/Makassar,"M 4.8 - 27km NE of Belanting, Indonesia",2018-11-07,disaster
88,disasters,,,-8.105,116.7771,85,2018-11-07T18:36:11Z,Asia/Makassar,"M 4.8 - 27km NE of Belanting, Indonesia",2018-11-07,earthquake
89,terror,IN,"4 civilians and 1 trooper were killed when suspected CPI-Maoist (a terrorist outfit) militants blew up a bus with an IED (improvised explosive device).

2 more troopers were injured in the attack.",18.700958,81.24913000000001,70,2018-11-07T18:30:00Z,Asia/Kolkata,"Bombing in Bacheli, India",2018-11-07,attack
89,terror,IN,"4 civilians and 1 trooper were killed when suspected CPI-Maoist (a terrorist outfit) militants blew up a bus with an IED (improvised explosive device).

2 more troopers were injured in the attack.",18.700958,81.24913000000001,70,2018-11-07T18:30:00Z,Asia/Kolkata,"Bombing in Bacheli, India",2018-11-07,bombing
89,terror,IN,"4 civilians and 1 trooper were killed when suspected CPI-Maoist (a terrorist outfit) militants blew up a bus with an IED (improvised explosive device).

2 more troopers were injured in the attack.",18.700958,81.24913000000001,70,2018-11-07T18:30:00Z,Asia/Kolkata,"Bombing in Bacheli, India",2018-11-07,terror
90,disasters,,,11.9616,-86.7953,73,2018-11-07T17:32:53Z,America/Managua,"M 4.6 - 31km W of Carlos Fonseca Amador, Nicaragua",2018-11-07,disaster
90,disasters,,,11.9616,-86.7953,73,2018-11-07T17:32:53Z,America/Managua,"M 4.6 - 31km W of Carlos Fonseca Amador, Nicaragua",2018-11-07,earthquake
91,disasters,,,44.1221,82.5216,83,2018-11-07T17:27:47Z,Asia/Urumqi,"M 4.5 - 105km ENE of Yining Xian, China",2018-11-07,disaster
91,disasters,,,44.1221,82.5216,83,2018-11-07T17:27:47Z,Asia/Urumqi,"M 4.5 - 105km ENE of Yining Xian, China",2018-11-07,earthquake
92,disasters,US,"Seven students from St. Mary's Catholic School in Pontiac were treated at a local hospital and released Tuesday, but officials still are unsure what caused the students to feel ill. At 11:15 a.m., the Pontiac Fire Department was called to the school at 414 N. Main St. after several students reported feeling unwell. Seven were then transported to OSF Saint James-John W. Albrecht Medical Center in Pontiac. ""They were treated and released and are all OK,"" said Pam Meiner, a spokeswoman for the hospital. Officials at the school declined to comment to The Pantagraph. There is no announcement on the school's web or Facebook pages about classes on Wednesday. Additional resources were called to the scene, including emergency medical services from Dwight and the Pontiac hospital, Odell and Saunemin fire protection districts, Nicor Gas, the Pontiac Wastewater and Treatment Plant, Popejoy Plumbing-Heating-Electric Co. and Southeast Livingston County Ambulance Service. The Fairbury Fire Department also was requested and handled other emergencies in Pontiac during the incident.  Capt. Jacob Campbell of the Pontiac Fire Department said the fire department, wastewater and treatment plant, and gas company all performed testing at the school but did not receive any hazardous readings on their monitors. ""The school has contacted additional inspectors to further investigate their facility,"" he said. The incident remains under investigation.",40.881321,-88.628047,70,2018-11-07T15:30:52Z,America/Chicago,HAZMAT - North-America - USA,2018-11-07,disaster
92,disasters,US,"Seven students from St. Mary's Catholic School in Pontiac were treated at a local hospital and released Tuesday, but officials still are unsure what caused the students to feel ill. At 11:15 a.m., the Pontiac Fire Department was called to the school at 414 N. Main St. after several students reported feeling unwell. Seven were then transported to OSF Saint James-John W. Albrecht Medical Center in Pontiac. ""They were treated and released and are all OK,"" said Pam Meiner, a spokeswoman for the hospital. Officials at the school declined to comment to The Pantagraph. There is no announcement on the school's web or Facebook pages about classes on Wednesday. Additional resources were called to the scene, including emergency medical services from Dwight and the Pontiac hospital, Odell and Saunemin fire protection districts, Nicor Gas, the Pontiac Wastewater and Treatment Plant, Popejoy Plumbing-Heating-Electric Co. and Southeast Livingston County Ambulance Service. The Fairbury Fire Department also was requested and handled other emergencies in Pontiac during the incident.  Capt. Jacob Campbell of the Pontiac Fire Department said the fire department, wastewater and treatment plant, and gas company all performed testing at the school but did not receive any hazardous readings on their monitors. ""The school has contacted additional inspectors to further investigate their facility,"" he said. The incident remains under investigation.",40.881321,-88.628047,70,2018-11-07T15:30:52Z,America/Chicago,HAZMAT - North-America - USA,2018-11-07,hazmat
93,disasters,GB,"A huge fire has broken out sparking evacuations at a block of flats in north London. Dramatic footage showed the flames tearing through the roof of the block at Grange Estate in East Finchley. About 100 firefighters were tackling the blaze. London Fire Brigade was called to the scene just after midnight on Wednesday. Some 60 people left the building before the London Fire Brigade (LFB) arrived. Fire crews from Barnet, Hornsey, Southgate, Holloway, Kentish Town, and surrounding fire stations are in attendance. Scotland Yard said officers attended at that an evacuation process was underway. Surrounding roads are closed as firefighters continue to battle the blaze. A Met Police spokesman said the force was not aware of any injuries. LFB said in the statement that the cause of the fire was not yet known. The fire has since been brought under control, it added.",51.618817,-0.18365399999999998,70,2018-11-07T15:20:53Z,Europe/London,Fire - Europe - United Kingdom,2018-11-07,disaster
93,disasters,GB,"A huge fire has broken out sparking evacuations at a block of flats in north London. Dramatic footage showed the flames tearing through the roof of the block at Grange Estate in East Finchley. About 100 firefighters were tackling the blaze. London Fire Brigade was called to the scene just after midnight on Wednesday. Some 60 people left the building before the London Fire Brigade (LFB) arrived. Fire crews from Barnet, Hornsey, Southgate, Holloway, Kentish Town, and surrounding fire stations are in attendance. Scotland Yard said officers attended at that an evacuation process was underway. Surrounding roads are closed as firefighters continue to battle the blaze. A Met Police spokesman said the force was not aware of any injuries. LFB said in the statement that the cause of the fire was not yet known. The fire has since been brought under control, it added.",51.618817,-0.18365399999999998,70,2018-11-07T15:20:53Z,Europe/London,Fire - Europe - United Kingdom,2018-11-07,fire
94,disasters,,,5.3626,126.8849,74,2018-11-07T14:57:06Z,Asia/Makassar,"M 4.7 - 135km SE of Pondaguitan, Philippines",2018-11-07,disaster
94,disasters,,,5.3626,126.8849,74,2018-11-07T14:57:06Z,Asia/Makassar,"M 4.7 - 135km SE of Pondaguitan, Philippines",2018-11-07,earthquake
95,disasters,,,-55.6743,-26.8676,85,2018-11-07T12:57:48Z,Atlantic/South_Georgia,"M 4.7 - 116km N of Visokoi Island, South Georgia and the South Sandwich Islands",2018-11-07,disaster
95,disasters,,,-55.6743,-26.8676,85,2018-11-07T12:57:48Z,Atlantic/South_Georgia,"M 4.7 - 116km N of Visokoi Island, South Georgia and the South Sandwich Islands",2018-11-07,earthquake
96,disasters,,,12.9818,-90.5422,85,2018-11-07T10:21:33Z,America/Guatemala,"M 4.7 - 102km SW of Acajutla, El Salvador",2018-11-07,disaster
96,disasters,,,12.9818,-90.5422,85,2018-11-07T10:21:33Z,America/Guatemala,"M 4.7 - 102km SW of Acajutla, El Salvador",2018-11-07,earthquake
97,disasters,ID,,-2.9266,119.3907,82,2018-11-07T09:42:28Z,Asia/Makassar,"M 5.3 - 2km NE of Mamasa, Indonesia",2018-11-07,disaster
97,disasters,ID,,-2.9266,119.3907,82,2018-11-07T09:42:28Z,Asia/Makassar,"M 5.3 - 2km NE of Mamasa, Indonesia",2018-11-07,earthquake
98,disasters,,,-12.8096,45.4355,84,2018-11-07T06:04:23Z,Indian/Mayotte,"M 4.9 - 16km E of Pamandzi, Mayotte",2018-11-07,disaster
98,disasters,,,-12.8096,45.4355,84,2018-11-07T06:04:23Z,Indian/Mayotte,"M 4.9 - 16km E of Pamandzi, Mayotte",2018-11-07,earthquake
99,disasters,US,"Deputies forced their way into a smoke-filled room at the Sonoma County Jail Monday morning and subdued an inmate who authorities said barricaded himself inside, threatened jail staff and started a fire by sticking an object into an electrical outlet. The incident sent the inmate, identified as Bernabe Martinez Ramirez, 16 jail staff members and four other inmates to the hospital for smoke inhalation, Sonoma County Sheriff's Office spokesman Sgt. Spencer Crum said. In February, Ramirez, 27, was placed into a segregated jail housing unit after he allegedly stabbed another inmate with a hairbrush that was filed to a sharp point, resulting in an attempted murder charge, Crum said. He was originally booked into jail in connection with a June 2017 case that resulted in felony charges of hit and run, obstructing police and attempting to take a gun from an officer. Inmates like Ramirez are moved into such housing units when they engage in bad behavior such as getting into fights or when they are a risk to staff members, Crum said. They have no physical contact with other inmates, though they can talk to each other from their cells. Trouble at the jail started at about 9 a.m., when Ramirez was alone and taking a scheduled break near his cell in a common room, where inmates segregated from the others have access one by one to amenities like a TV, a bathroom and phone, Crum said. Deputies noticed Ramirez was tying bed sheets from one door handle to the next, preventing them from opening doors into the room, Crum said. He also covered the room's floor with soap and pried a manual pencil sharpener off a wall and put it into a sock, using it to threaten correctional staff that watched from a window nearby. ""The deputies weren't going to charge in there and possibly get injured,"" Crum said. A crisis negotiation team was called in and team members spent about 40 minutes trying to talk with him. Meanwhile, Ramirez grabbed toilet paper, another object which the Crum declined to disclose for security reasons, and used it to spark a fire from an electrical outlet. ""He's able to start a fire and he starts lighting a bunch of toilet paper, sheets and clothing on fire,"" Crum said, adding that Ramirez also broke down a wooden cabinet and added it to the flames. ""We're not going to disclose (the object) because we don't want to see this behavior continue with other inmates."" The smoke from the small fire activated the facility's sprinkler system, dousing the room with water. About 15 to 20 deputies stormed into the jail common area, taking Ramirez into custody and using fire extinguishers to put out the flames. The jail was placed on lockdown following the fire, keeping visitors from meeting with inmates. Santa Rosa firefighters initially dispatched to the jail for a medical aid call at 10:10 a.m. also helped put out the flames, learning of the incident as they were being escorted into the facility to treat an inmate, Santa Rosa fire Battalion Chief Mark Basque said. Sonoma County Sheriff's property investigators, which are trained in arson cases, will take the lead in the fire investigation, though Santa Rosa Fire Department investigators will help, Crum said. The common area where the fires were started does not have video surveillance cameras installed, he said.",38.46756,-122.724369,70,2018-11-07T05:46:48Z,America/Los_Angeles,Fire - North-America - USA,2018-11-07,disaster
99,disasters,US,"Deputies forced their way into a smoke-filled room at the Sonoma County Jail Monday morning and subdued an inmate who authorities said barricaded himself inside, threatened jail staff and started a fire by sticking an object into an electrical outlet. The incident sent the inmate, identified as Bernabe Martinez Ramirez, 16 jail staff members and four other inmates to the hospital for smoke inhalation, Sonoma County Sheriff's Office spokesman Sgt. Spencer Crum said. In February, Ramirez, 27, was placed into a segregated jail housing unit after he allegedly stabbed another inmate with a hairbrush that was filed to a sharp point, resulting in an attempted murder charge, Crum said. He was originally booked into jail in connection with a June 2017 case that resulted in felony charges of hit and run, obstructing police and attempting to take a gun from an officer. Inmates like Ramirez are moved into such housing units when they engage in bad behavior such as getting into fights or when they are a risk to staff members, Crum said. They have no physical contact with other inmates, though they can talk to each other from their cells. Trouble at the jail started at about 9 a.m., when Ramirez was alone and taking a scheduled break near his cell in a common room, where inmates segregated from the others have access one by one to amenities like a TV, a bathroom and phone, Crum said. Deputies noticed Ramirez was tying bed sheets from one door handle to the next, preventing them from opening doors into the room, Crum said. He also covered the room's floor with soap and pried a manual pencil sharpener off a wall and put it into a sock, using it to threaten correctional staff that watched from a window nearby. ""The deputies weren't going to charge in there and possibly get injured,"" Crum said. A crisis negotiation team was called in and team members spent about 40 minutes trying to talk with him. Meanwhile, Ramirez grabbed toilet paper, another object which the Crum declined to disclose for security reasons, and used it to spark a fire from an electrical outlet. ""He's able to start a fire and he starts lighting a bunch of toilet paper, sheets and clothing on fire,"" Crum said, adding that Ramirez also broke down a wooden cabinet and added it to the flames. ""We're not going to disclose (the object) because we don't want to see this behavior continue with other inmates."" The smoke from the small fire activated the facility's sprinkler system, dousing the room with water. About 15 to 20 deputies stormed into the jail common area, taking Ramirez into custody and using fire extinguishers to put out the flames. The jail was placed on lockdown following the fire, keeping visitors from meeting with inmates. Santa Rosa firefighters initially dispatched to the jail for a medical aid call at 10:10 a.m. also helped put out the flames, learning of the incident as they were being escorted into the facility to treat an inmate, Santa Rosa fire Battalion Chief Mark Basque said. Sonoma County Sheriff's property investigators, which are trained in arson cases, will take the lead in the fire investigation, though Santa Rosa Fire Department investigators will help, Crum said. The common area where the fires were started does not have video surveillance cameras installed, he said.",38.46756,-122.724369,70,2018-11-07T05:46:48Z,America/Los_Angeles,Fire - North-America - USA,2018-11-07,fire
100,disasters,CN,"A man jumped downstairs in search of help after cutting the gas tube in his public housing flat on Tuesday, in an apparent suicide attempt which sparked a fire injuring three other men and forcing 750 residents to evacuate. The 37-year-old man, surnamed Chi, suffered severe burns and was in a critical condition at Prince of Wales Hospital. The fire broke out on the 15th floor of Tin Hor House at Tin Ping Estate in Sheung Shui at about 4.40am. A fire service spokeswoman said its staff found fire accelerants at the scene. The blaze was put out at 5.19am. A police insider said officers suspected Chi was trying to kill himself as he cut the gas tube in the flat. When the flat exploded, the source added, Chi jumped one floor down from the window to the 14th floor and called for help. ""The neighbor one floor down took him into the flat and called 999. We suspect that he had attempted suicide,"" the insider said, adding that Chi was the only person in his flat at the time of the incident. A police spokesman said Chi was rushed to the hospital and that 750 residents of the estate had to be evacuated. ""The other three tenants, from the same block, felt uncomfortable after inhaling smoke and were sent to North District Hospital,"" he said. In all, 13 fire trucks, five ambulances, two pairs of water jets and an array of breathing apparatus were sent to the scene.",22.50155,114.134771,70,2018-11-07T04:48:43Z,Asia/Hong_Kong,Fire - Asia - China,2018-11-07,disaster
100,disasters,CN,"A man jumped downstairs in search of help after cutting the gas tube in his public housing flat on Tuesday, in an apparent suicide attempt which sparked a fire injuring three other men and forcing 750 residents to evacuate. The 37-year-old man, surnamed Chi, suffered severe burns and was in a critical condition at Prince of Wales Hospital. The fire broke out on the 15th floor of Tin Hor House at Tin Ping Estate in Sheung Shui at about 4.40am. A fire service spokeswoman said its staff found fire accelerants at the scene. The blaze was put out at 5.19am. A police insider said officers suspected Chi was trying to kill himself as he cut the gas tube in the flat. When the flat exploded, the source added, Chi jumped one floor down from the window to the 14th floor and called for help. ""The neighbor one floor down took him into the flat and called 999. We suspect that he had attempted suicide,"" the insider said, adding that Chi was the only person in his flat at the time of the incident. A police spokesman said Chi was rushed to the hospital and that 750 residents of the estate had to be evacuated. ""The other three tenants, from the same block, felt uncomfortable after inhaling smoke and were sent to North District Hospital,"" he said. In all, 13 fire trucks, five ambulances, two pairs of water jets and an array of breathing apparatus were sent to the scene.",22.50155,114.134771,70,2018-11-07T04:48:43Z,Asia/Hong_Kong,Fire - Asia - China,2018-11-07,fire
101,disasters,CN,"Nearly 10,000 people in southwest China's Sichuan Province have been evacuated after a landslide blocked the Jinsha River and the water level of a barrier lake continued to rise. The information office of Garze Tibetan Autonomous Prefecture government in Sichuan said Tuesday that, as of 3 p.m., 9,964 people including local residents and workers along the river have been evacuated. A large landslide hit the border area between Sichuan and Tibet Saturday, leading to the formation of a barrier lake. The downstream area of the Jinsha River has been cut off by the blockade while the upstream water level keeps rising. The water level of the barrier lake has risen 33.88 meters since Saturday. Police and militiamen have been sent to help evacuate locals and keep order. The landslide-hit area will see a significant drop in temperatures in the following days, with snow and rain predicted to hit the area.",30.04952,101.96231,90,2018-11-07T04:47:07Z,Asia/Shanghai,Landslide - Asia - China,2018-11-07,disaster
101,disasters,CN,"Nearly 10,000 people in southwest China's Sichuan Province have been evacuated after a landslide blocked the Jinsha River and the water level of a barrier lake continued to rise. The information office of Garze Tibetan Autonomous Prefecture government in Sichuan said Tuesday that, as of 3 p.m., 9,964 people including local residents and workers along the river have been evacuated. A large landslide hit the border area between Sichuan and Tibet Saturday, leading to the formation of a barrier lake. The downstream area of the Jinsha River has been cut off by the blockade while the upstream water level keeps rising. The water level of the barrier lake has risen 33.88 meters since Saturday. Police and militiamen have been sent to help evacuate locals and keep order. The landslide-hit area will see a significant drop in temperatures in the following days, with snow and rain predicted to hit the area.",30.04952,101.96231,90,2018-11-07T04:47:07Z,Asia/Shanghai,Landslide - Asia - China,2018-11-07,landslide
102,disasters,CA,"Centennial Public School in Centretown has been evacuated after a chlorine leak in the basement of the building. The school says all students, staff and Centretown Daycare children at have been moved to a safe, nearby location, due to chemical fumes. The Ottawa-Carleton District School Board is expected to be communicating with parents about next steps. The Ottawa Fire Service Hazmat team is managing the scene on Gloucester Street, between Percy Street and Bay Street. It is asking motorists to avoid the area, or at least slow down and move over for emergency vehicles.",45.415287,-75.704685,90,2018-11-07T04:21:43Z,America/Toronto,HAZMAT - North-America - Canada,2018-11-07,disaster
102,disasters,CA,"Centennial Public School in Centretown has been evacuated after a chlorine leak in the basement of the building. The school says all students, staff and Centretown Daycare children at have been moved to a safe, nearby location, due to chemical fumes. The Ottawa-Carleton District School Board is expected to be communicating with parents about next steps. The Ottawa Fire Service Hazmat team is managing the scene on Gloucester Street, between Percy Street and Bay Street. It is asking motorists to avoid the area, or at least slow down and move over for emergency vehicles.",45.415287,-75.704685,90,2018-11-07T04:21:43Z,America/Toronto,HAZMAT - North-America - Canada,2018-11-07,hazmat
103,disasters,,,-21.4323,-178.998,62,2018-11-07T02:59:33Z,Pacific/Fiji,"M 4.5 - 91km SSW of Ndoi Island, Fiji",2018-11-07,disaster
103,disasters,,,-21.4323,-178.998,62,2018-11-07T02:59:33Z,Pacific/Fiji,"M 4.5 - 91km SSW of Ndoi Island, Fiji",2018-11-07,earthquake
104,disasters,,,30.4641,87.6425,84,2018-11-07T02:34:00Z,Asia/Shanghai,"M 4.6 - 108km WSW of Jiajuedibu, China",2018-11-07,disaster
104,disasters,,,30.4641,87.6425,84,2018-11-07T02:34:00Z,Asia/Shanghai,"M 4.6 - 108km WSW of Jiajuedibu, China",2018-11-07,earthquake
105,disasters,,,40.7453,142.5254,75,2018-11-08T23:05:36Z,Asia/Tokyo,"M 4.5 - 90km ENE of Hachinohe, Japan",2018-11-08,disaster
105,disasters,,,40.7453,142.5254,75,2018-11-08T23:05:36Z,Asia/Tokyo,"M 4.5 - 90km ENE of Hachinohe, Japan",2018-11-08,earthquake
106,disasters,,,37.7686,20.3935,83,2018-11-08T22:46:02Z,Europe/Athens,"M 4.5 - 33km WSW of Katastarion, Greece",2018-11-08,disaster
106,disasters,,,37.7686,20.3935,83,2018-11-08T22:46:02Z,Europe/Athens,"M 4.5 - 33km WSW of Katastarion, Greece",2018-11-08,earthquake
107,disasters,,,-34.3508,116.8388,86,2018-11-08T21:07:01Z,Australia/Perth,"M 5.2 - 64km ESE of Manjimup, Australia",2018-11-08,disaster
107,disasters,,,-34.3508,116.8388,86,2018-11-08T21:07:01Z,Australia/Perth,"M 5.2 - 64km ESE of Manjimup, Australia",2018-11-08,earthquake
108,disasters,,,-2.8033,119.5894,84,2018-11-08T18:42:53Z,Asia/Makassar,"M 4.6 - 27km WNW of Rindingallo, Indonesia",2018-11-08,disaster
108,disasters,,,-2.8033,119.5894,84,2018-11-08T18:42:53Z,Asia/Makassar,"M 4.6 - 27km WNW of Rindingallo, Indonesia",2018-11-08,earthquake
109,disasters,US,"Residents in the Paradise area along the Feather River Canyon are being evacuated because of the Camp Fire. The fire started about 6:30 a.m. this morning near Camp Creek Road near Pulga and swept west toward Paradise. It is at 5,000 acres with 0 percent containment, Cal Fire public information officer Rick Carhart said. Firefighters are expecting sustained winds up to 30-35 mph on the fire. The fire was reported burning in town on the Skyway, as well as Pentz Road. According to the Butte County Sheriff's Office, Feather River Hospital, a retirement home, and Ponderosa Elementary School were all evacuated. Emergency scanner traffic said structures are on fire near Pentz Road. Hospital patients were sent to Enloe Medical Center in Chico. Butte College was being closed just after 10 a.m. The hospital's 60 patients have been evacuated, and the building is closed, Maureen Wisener, public information officer said. Some employees are sheltering at the hospital. She said that she can see the fire of both sides of Pentz Road. In Paradise, the Carnegie, North Pines, North Fir Haven, South Fir Haven, South Pine, Old Maglia, and South Coutelenc zones are being ordered to evacuate and zones, according to the Sheriff's Office. Butte Creek Canyon is the Centerville area, and three zones in Magalia are also under the evacuation order. The communities of Pulga, Concow, Centerville and Butte Creek are also being evacuated. Skyway was closed at Bruce Road heading up to Paradise so all four lanes could be used for downhill traffic to evacuate to the valley. No traffic is being allowed into Paradise. Town Manager Lauren Gill said anyone who feels the need to leave, should leave. ""The goal is to get as many people out of town safely and to save lives,"" she said. Highway 70 has been shut down at Pentz Road. According to PG and E spokesman Paul Moreno, 4,400 customers are without power in the Paradise, Pulga and Concow areas due to downed power lines and PG and E turning off the power. An evacuation shelter has been set up at Oroville Nazarene Church, 2238 Monte Vista Ave. The Neighborhood Church in Chico at 2801 Notre Dame Blvd. is also open to evacuees.",39.770513,-121.41998500000001,90,2018-11-08T18:40:08Z,America/Los_Angeles,Forest / Wild Fire - North-America - USA,2018-11-08,disaster
109,disasters,US,"Residents in the Paradise area along the Feather River Canyon are being evacuated because of the Camp Fire. The fire started about 6:30 a.m. this morning near Camp Creek Road near Pulga and swept west toward Paradise. It is at 5,000 acres with 0 percent containment, Cal Fire public information officer Rick Carhart said. Firefighters are expecting sustained winds up to 30-35 mph on the fire. The fire was reported burning in town on the Skyway, as well as Pentz Road. According to the Butte County Sheriff's Office, Feather River Hospital, a retirement home, and Ponderosa Elementary School were all evacuated. Emergency scanner traffic said structures are on fire near Pentz Road. Hospital patients were sent to Enloe Medical Center in Chico. Butte College was being closed just after 10 a.m. The hospital's 60 patients have been evacuated, and the building is closed, Maureen Wisener, public information officer said. Some employees are sheltering at the hospital. She said that she can see the fire of both sides of Pentz Road. In Paradise, the Carnegie, North Pines, North Fir Haven, South Fir Haven, South Pine, Old Maglia, and South Coutelenc zones are being ordered to evacuate and zones, according to the Sheriff's Office. Butte Creek Canyon is the Centerville area, and three zones in Magalia are also under the evacuation order. The communities of Pulga, Concow, Centerville and Butte Creek are also being evacuated. Skyway was closed at Bruce Road heading up to Paradise so all four lanes could be used for downhill traffic to evacuate to the valley. No traffic is being allowed into Paradise. Town Manager Lauren Gill said anyone who feels the need to leave, should leave. ""The goal is to get as many people out of town safely and to save lives,"" she said. Highway 70 has been shut down at Pentz Road. According to PG and E spokesman Paul Moreno, 4,400 customers are without power in the Paradise, Pulga and Concow areas due to downed power lines and PG and E turning off the power. An evacuation shelter has been set up at Oroville Nazarene Church, 2238 Monte Vista Ave. The Neighborhood Church in Chico at 2801 Notre Dame Blvd. is also open to evacuees.",39.770513,-121.41998500000001,90,2018-11-08T18:40:08Z,America/Los_Angeles,Forest / Wild Fire - North-America - USA,2018-11-08,fire
109,disasters,US,"Residents in the Paradise area along the Feather River Canyon are being evacuated because of the Camp Fire. The fire started about 6:30 a.m. this morning near Camp Creek Road near Pulga and swept west toward Paradise. It is at 5,000 acres with 0 percent containment, Cal Fire public information officer Rick Carhart said. Firefighters are expecting sustained winds up to 30-35 mph on the fire. The fire was reported burning in town on the Skyway, as well as Pentz Road. According to the Butte County Sheriff's Office, Feather River Hospital, a retirement home, and Ponderosa Elementary School were all evacuated. Emergency scanner traffic said structures are on fire near Pentz Road. Hospital patients were sent to Enloe Medical Center in Chico. Butte College was being closed just after 10 a.m. The hospital's 60 patients have been evacuated, and the building is closed, Maureen Wisener, public information officer said. Some employees are sheltering at the hospital. She said that she can see the fire of both sides of Pentz Road. In Paradise, the Carnegie, North Pines, North Fir Haven, South Fir Haven, South Pine, Old Maglia, and South Coutelenc zones are being ordered to evacuate and zones, according to the Sheriff's Office. Butte Creek Canyon is the Centerville area, and three zones in Magalia are also under the evacuation order. The communities of Pulga, Concow, Centerville and Butte Creek are also being evacuated. Skyway was closed at Bruce Road heading up to Paradise so all four lanes could be used for downhill traffic to evacuate to the valley. No traffic is being allowed into Paradise. Town Manager Lauren Gill said anyone who feels the need to leave, should leave. ""The goal is to get as many people out of town safely and to save lives,"" she said. Highway 70 has been shut down at Pentz Road. According to PG and E spokesman Paul Moreno, 4,400 customers are without power in the Paradise, Pulga and Concow areas due to downed power lines and PG and E turning off the power. An evacuation shelter has been set up at Oroville Nazarene Church, 2238 Monte Vista Ave. The Neighborhood Church in Chico at 2801 Notre Dame Blvd. is also open to evacuees.",39.770513,-121.41998500000001,90,2018-11-08T18:40:08Z,America/Los_Angeles,Forest / Wild Fire - North-America - USA,2018-11-08,wildfire
110,disasters,,,37.6666,70.2368,83,2018-11-08T15:01:07Z,Asia/Dushanbe,"M 4.6 - 47km E of Chubek, Tajikistan",2018-11-08,disaster
110,disasters,,,37.6666,70.2368,83,2018-11-08T15:01:07Z,Asia/Dushanbe,"M 4.6 - 47km E of Chubek, Tajikistan",2018-11-08,earthquake
111,disasters,,,11.4445,139.0743,77,2018-11-08T14:46:17Z,Pacific/Chuuk,"M 4.7 - 225km NNE of Rumung, Micronesia",2018-11-08,disaster
111,disasters,,,11.4445,139.0743,77,2018-11-08T14:46:17Z,Pacific/Chuuk,"M 4.7 - 225km NNE of Rumung, Micronesia",2018-11-08,earthquake
112,disasters,,,-2.9210000000000003,119.4183,84,2018-11-08T13:40:16Z,Asia/Makassar,"M 5.2 - 5km ENE of Mamasa, Indonesia",2018-11-08,disaster
112,disasters,,,-2.9210000000000003,119.4183,84,2018-11-08T13:40:16Z,Asia/Makassar,"M 5.2 - 5km ENE of Mamasa, Indonesia",2018-11-08,earthquake
113,disasters,,,-15.2742,-173.305,84,2018-11-08T09:02:48Z,Pacific/Tongatapu,"M 5.0 - 88km NNE of Hihifo, Tonga",2018-11-08,disaster
113,disasters,,,-15.2742,-173.305,84,2018-11-08T09:02:48Z,Pacific/Tongatapu,"M 5.0 - 88km NNE of Hihifo, Tonga",2018-11-08,earthquake
114,disasters,,,2.3671,127.2763,79,2018-11-08T08:30:16Z,Asia/Jayapura,"M 4.5 - 107km NW of Tobelo, Indonesia",2018-11-08,disaster
114,disasters,,,2.3671,127.2763,79,2018-11-08T08:30:16Z,Asia/Jayapura,"M 4.5 - 107km NW of Tobelo, Indonesia",2018-11-08,earthquake
115,disasters,,,-27.8369,-71.2439,82,2018-11-08T08:16:13Z,America/Santiago,"M 4.7 - 94km NNW of Vallenar, Chile",2018-11-08,disaster
115,disasters,,,-27.8369,-71.2439,82,2018-11-08T08:16:13Z,America/Santiago,"M 4.7 - 94km NNW of Vallenar, Chile",2018-11-08,earthquake
116,disasters,US,"Eighteen people are being treated for minor injuries following a rollover wreck that involved a CATS bus Wednesday morning just outside of uptown Charlotte. The two-vehicle crash happened just before 8:15 a.m. near the intersection of Beatties Ford Road and Cemetery Street, authorities said. Charlotte Fire said 18 people have been transported to the hospital for non-life threatening injuries.",35.248267999999996,-80.856626,70,2018-11-08T04:40:28Z,America/New_York,Vehicle Accident - North-America - USA,2018-11-08,disaster
116,disasters,US,"Eighteen people are being treated for minor injuries following a rollover wreck that involved a CATS bus Wednesday morning just outside of uptown Charlotte. The two-vehicle crash happened just before 8:15 a.m. near the intersection of Beatties Ford Road and Cemetery Street, authorities said. Charlotte Fire said 18 people have been transported to the hospital for non-life threatening injuries.",35.248267999999996,-80.856626,70,2018-11-08T04:40:28Z,America/New_York,Vehicle Accident - North-America - USA,2018-11-08,vehicle-accident
